"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20150101,20150930,611341731000,611341731000,,,,,,,,578214414000,541420342000,,,,,,,,,,,18312538000,1442008000,11710688000,3781311000,1547527000,,,-289816000,771271000,653737000,,,,,,,,33608772000,486390000,193468000,7233000,,,33901694000,8754158000,,,,25147536000,19043552000,0,6103984000,,,0.6,0.6,-1069890000,,,24077646000,18320678000,5756968000,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,413733887000,413733887000,,,,,,,,389184969000,362987776000,,,,,,,,,,,13021755000,976900000,7598499000,2946440000,1653599000,,,-459923000,595848000,465896000,,,,,,,,24684843000,297588000,157586000,7931000,,,24824845000,5896195000,,,,18928650000,13732837000,,5195813000,,,0.43,0.42,-268533000,-243767000,-24766000,18660117000,13489070000,5171047000,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,193767299000,193767299000,,,,,,,,184304067000,171968449000,,,,,,,,,,,6567940000,329819000,3971273000,1139873000,326713000,,,-235483000,429432000,419801000,,,,,,,,9657181000,176042000,9657000,2086000,,,9823566000,2313916000,,,,7509650000,5624837000,,1884813000,,,0.19,0.19,-701456000,-603861000,-97595000,6808194000,5020976000,1787218000,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20141231,800028753000,800028753000,,,,,,,,759914090000,699364000000,,,,,,,,,,,30891831000,2098826000,15605773000,7429397000,4524263000,,,-222120000,2321021000,1506953000,,,,,,,,42213564000,1272406000,149869000,44296000,,,43336101000,10159287000,,,,33176814000,22569967000,,10606847000,,,0.75,0.75,1359374000,1376874000,-17500000,34536188000,23946841000,10589347000,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140930,566047373000,566047373000,,,,,,,,539052394000,501560173000,,,,,,,,,,,19928187000,1078639000,11186157000,3500130000,1799108000,,,-307866000,1712749000,1390279000,,,,,,,,28399862000,748840000,117899000,15017000,,,29030803000,6683031000,,,,22347772000,16901840000,,5445932000,,,0.57,0.56,426856000,,,22774628000,17308676000,5465952000,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140630,374940944000,374940944000,,,,,,,,355223325000,328609616000,,,,,,,,,,,14032992000,650569000,7498386000,2391138000,2040624000,,,-235953000,1286819000,1131544000,,,,,,,,20768485000,557151000,68619000,14166000,,,21257017000,4923461000,,,,16333556000,11815394000,,4518162000,,,0.4,0.39,531912000,,,16865468000,12345126000,4520342000,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140331,163946070000,163946070000,,,,,,,,156186207000,145503721000,,,,,,,,,,,5747907000,305450000,3630663000,821588000,176878000,,,-93679000,624209000,624209000,,,,,,,,8290393000,184476000,22213000,10743000,,,8452656000,2161411000,,,,6291245000,4625925000,,1665320000,,,0.15,0.15,238864000,,,6530109000,4723974000,1806135000,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20131231,681047990000,681047990000,,,,,,,,648244496000,600219835000,,,,,,,,,,,24739397000,1662426000,14549210000,5407200000,1666428000,,,32504000,5373836000,3597707000,,,,,,,,38209834000,875236000,286470000,29750000,,,38798600000,9465135000,,,,29333465000,20398512000,,8934953000,,,0.68,0.67,42755000,,,29376220000,20269663000,9106557000,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130930,479892326000,479892326000,,,,,,,,458301188000,425125698000,,,,,,,,,,,17220935000,1048463000,10744167000,2889227000,1272698000,,,-30994000,4015619000,3122599000,,,,,,,,25575763000,533075000,91232000,13514000,,,26017606000,6504401000,,,,19513205000,13420007000,,6093198000,,,0.45,0.45,149794000,,,19662999000,13512219000,6150780000,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130630,301933937000,301933937000,,,,,,,,287695318000,265660190000,,,,,,,,,,,11129969000,599120000,7003547000,1852719000,1449773000,,,-117778000,2984470000,1537853000,,,,,,,,17105311000,287073000,46696000,8282000,,,17345688000,4479958000,,,,12865730000,8789453000,,4076277000,,,0.29,0.29,22247000,,,12887977000,8730692000,4157285000,,,,,,,,,,,,,,,,,,,,,,,,
